iter	Passed	Remaining
911	1511	145
912	1512	144
913	1514	142
914	1515	140
915	1516	139
916	1518	137
917	1519	135
918	1520	134
919	1522	132
920	1523	130
921	1525	129
922	1526	127
923	1527	125
924	1529	123
925	1530	122
926	1531	120
927	1533	118
928	1534	117
929	1536	115
930	1537	113
931	1538	112
932	1540	110
933	1541	108
934	1543	107
935	1544	105
936	1546	103
937	1547	102
938	1548	100
939	1550	98
940	1551	97
941	1553	95
942	1554	93
943	1555	92
944	1557	90
945	1558	88
946	1560	87
947	1561	85
948	1562	83
949	1563	82
950	1565	80
951	1566	78
952	1567	77
953	1569	75
954	1570	74
955	1572	72
956	1573	70
957	1574	69
958	1575	67
959	1577	65
960	1578	64
961	1580	62
962	1581	60
963	1582	59
964	1584	57
965	1585	55
966	1587	54
967	1588	52
968	1590	50
969	1592	49
970	1593	47
971	1594	45
972	1595	44
973	1597	42
974	1598	40
975	1600	39
976	1601	37
977	1603	36
978	1605	34
979	1606	32
980	1608	31
981	1610	29
982	1612	27
983	1613	26
984	1615	24
985	1617	22
986	1618	21
987	1620	19
988	1621	18
989	1623	16
990	1624	14
991	1626	13
992	1627	11
993	1629	9
994	1631	8
995	1633	6
996	1634	4
997	1636	3
998	1637	1
999	1638	0
