iter	RMSE
0	9.16182433
1	8.879697
2	8.627371062
3	8.360071559
4	8.128166629
5	7.88031518
6	7.669806955
7	7.466181327
8	7.240756018
9	7.043934003
10	6.853798434
11	6.675734107
12	6.494387424
13	6.328069093
14	6.14613507
15	5.984075737
16	5.813302194
17	5.660578773
18	5.531963351
19	5.399479649
20	5.261288854
21	5.126230632
22	5.001897053
23	4.867281496
24	4.732599331
25	4.606758703
26	4.492315839
27	4.393847932
28	4.280948953
29	4.189035566
30	4.100704164
31	4.008452371
32	3.926365716
33	3.837509156
34	3.758203261
35	3.68497424
36	3.628237945
37	3.553902707
38	3.483266334
39	3.413115779
40	3.344598152
41	3.290801999
42	3.220177505
43	3.171547261
44	3.121235397
45	3.070073158
46	3.023075267
47	2.970971031
48	2.933617045
49	2.905664138
50	2.863611594
51	2.821290034
52	2.779196019
53	2.740919182
54	2.70140538
55	2.66682673
56	2.620711975
57	2.576080303
58	2.527947997
59	2.489053877
60	2.449116146
61	2.419568226
62	2.381385252
63	2.353408137
64	2.32545138
65	2.301263414
66	2.275446761
67	2.247266532
68	2.221540673
69	2.190305208
70	2.156468549
71	2.135487978
72	2.111973548
73	2.085850852
74	2.075930796
75	2.058547426
76	2.034344088
77	2.0128352
78	1.999066077
79	1.982473072
80	1.964744799
81	1.941670683
82	1.926653278
83	1.91463696
84	1.908331316
85	1.895791051
86	1.877276267
87	1.857228764
88	1.843058644
89	1.833538852
90	1.819295325
91	1.806348515
92	1.800057664
93	1.792004275
94	1.78258848
95	1.768611314
96	1.756373909
97	1.742726418
98	1.738154616
99	1.727266488
100	1.719141332
101	1.709250394
102	1.706585442
103	1.69443828
104	1.685892664
105	1.674783935
106	1.662226983
107	1.652770156
108	1.644396967
109	1.635314609
110	1.616671219
111	1.613785362
112	1.605612703
113	1.594735916
114	1.58887506
115	1.582662626
116	1.573372208
117	1.568522984
118	1.560738807
119	1.555279871
120	1.550645622
121	1.535220103
122	1.530118447
123	1.52748627
124	1.518331477
125	1.515176879
126	1.504848396
127	1.497207824
128	1.494914015
129	1.486128235
130	1.483224181
131	1.480544217
132	1.475816807
133	1.471076093
134	1.466831148
135	1.460307974
136	1.453940501
137	1.437272313
138	1.428744094
139	1.424525776
140	1.422336376
141	1.420137179
142	1.416568711
